GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
A. K-6,WARREN,400,BLAIRSTOWN TWP,13203,0.26,0.711,0.028,0.002,0,0,14.2,65.7,135.6,0.195,41,267397
A. K-6,WARREN,1620,FRANKLIN TWP,18283,0.215,0.701,0.028,0.013,0.043,0,12.2,64.2,115.6,0.090,41,0
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,15750,0.278,0.68,0.034,0.009,0,0,11.6,127.1,89,0.147,41,0
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,15236,0.332,0.633,0.035,0,0,0,12.5,83.7,226,0.103,41,-1.862645E-9
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,12146,0.453,0.521,0.026,0,0,0,14.1,88.5,225.8,0.099,41,-9.31323E-10
F. K-12 / 1801 - 3500,WARREN,1870,HACKETTSTOWN,15537,0.209,0.515,0.021,0.256,0,0,12.7,70.6,141.2,0.151,41,-9.31323E-10
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,16501,0.083,0.883,0.024,0.01,0,0,12.3,65.8,269.1,0.186,41,0
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,16545,0.235,0.729,0.03,0.006,0,0,13,74.3,69.3,0.113,41,0
A. K-6,WARREN,2470,KNOWLTON TWP,16956,0.37,0.599,0.028,0.003,0,0,10.4,50.7,132.9,0.125,41,0
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,12938,0.228,0.692,0.022,0.005,0.053,0,12.2,77.5,194.7,0.099,41,694
A. K-6,WARREN,2970,MANSFIELD TWP,13335,0.413,0.539,0.042,0.004,0.001,0.001,12,94.7,227.3,0.130,41,0
H. 7-12 / 9-12,WARREN,3675,NORTH WARREN REGIONAL,16111,0.343,0.635,0.022,0,0,0,12.1,75.5,122.9,0.151,41,0
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,18118,0.422,0.544,0.034,0,0,0,10.8,98.3,98.3,0.207,41,4.656613E-10
G. K-12 / 3501 +,WARREN,4100,PHILLIPSBURG TOWN,17901,0.715,0.135,0.049,0.101,0,0,11.8,68,157.6,0.146,41,0
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,15394,0.256,0.719,0.025,0,0,0,12.2,82.4,115.3,0.097,41,-4.65661E-10
I. CSSD,WARREN,5450,WARREN CO SPECIAL SERVICE,51259,0.072,0.123,0.004,0.801,0,0,3.7,6.4,28.3,1.000,41,0
J. VOC,WARREN,5460,WARREN COUNTY VOCATIONAL,18704,0.363,0.44,0.031,0.166,0,0,12.3,129,129,0.211,41,0
H. 7-12 / 9-12,WARREN,5465,WARREN HILLS REGIONAL,17781,0.349,0.566,0.028,0.056,0,0.001,13.8,108.2,194.7,0.170,41,38050
A. K-6,WARREN,5480,WASHINGTON BORO,13608,0.409,0.556,0.035,0,0,0,12.2,101.7,179.7,0.183,41,0
A. K-6,WARREN,5530,WASHINGTON TWP,14145,0.371,0.604,0.026,0,0,0,12.4,83.5,154.5,0.131,41,0
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,15615,0.228,0.739,0.03,0,0.003,0,12.1,66.5,189.5,0.174,41,4.656613E-10
K. CHARTER,WARREN,7727,RIDGE AND VALLEY CS,12249,0.331,0.641,0.027,0,0,0.001,9,0,59.5,0.266,80,1082800
