CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6612,2508796,1450877,1344869,50792,55216,394935,196921,541671,360963,121313,0,0,0,21000,222,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,3827782,1888228,1771368,37300,79560,434439,324357,731291,554309,773824,0,0,0,0,274,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7420,4541348,2552089,2327821,165768,58500,483946,268866,1069036,721743,436277,0,0,0,23600,342,Oceanside CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7520,6699651,3567087,3364182,150000,52905,979839,664277,1438342,1173141,714383,0,0,0,15000,506,PleasanTech Academy CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,4717084,2536779,2142279,268500,126000,739702,425102,867545,603370,573058,0,0,0,0,486,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,3720755,2178755,2013755,80000,85000,644857,287357,617534,326034,279609,0,0,0,35000,206,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4348411,2482111,2395111,45000,42000,344077,219077,517023,432023,1004200,0,0,0,0,306,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1064242,598800,536900,42650,19250,102334,57584,233060,206500,130048,0,0,0,0,118,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,1262189,666516,607700,27006,31810,139578,55578,300860,239540,155235,0,0,0,0,138,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6024,1610943,832999,645608,103000,84391,262745,97745,293599,198599,221600,0,0,0,135000,168,Camden's Pride Charter Schhol,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6027,3361097,1973859,1518891,294468,160500,310007,136307,562032,372532,515200,0,0,0,200000,319,Institute of Excellence Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6212,6282102,3291042,2587842,550000,153200,1004626,649626,913817,485817,1001929,0,0,0,100000,456,Camden Academy Charter HS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6215,5838509,3255746,2952646,205000,98100,614985,327885,775549,518549,1017979,0,0,0,0,390,Camden's Promise CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,3644816,2044070,1811070,128000,105000,538391,361691,731535,558835,330819,0,0,0,70000,132,Environment Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6240,2943702,1681436,1316415,143211,221810,480467,394262,583999,255850,197800,0,0,0,0,229,Freedom Academy CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6325,7482857,4225994,3654838,465739,105417,1033856,703077,1292494,965919,930513,0,0,0,208550,507,D.U.E. Season CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,7109,10149191,6223094,5221003,418000,584091,1676080,487929,1680267,1405685,562750,0,0,0,50000,830,LEAP Academy University CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6028,1366711,685331,578831,70200,36300,137808,78308,301072,241072,242500,0,0,0,3000,156,Vineland Public Charter School,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6016,3624052,1846132,1346730,300002,199400,502009,296155,645911,467011,630000,0,0,0,55000,286,Adelaide L. Sandford CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6020,3417162,1906196,1691696,90000,124500,301676,182676,828290,684690,381000,0,0,0,15000,240,Pride Academy Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6022,2359976,1248488,1142862,71000,34626,338385,243385,388981,248797,382122,0,0,0,23255,216,Burch Charter School of Excellence,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6029,3068939,1434575,1388275,41300,5000,388881,306881,603483,496283,637000,0,0,0,0,249,Newark Educators Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6037,1256169,699650,678350,10800,10500,64299,42549,320456,264411,169420,0,0,0,0,120,Newark Legacy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6038,1830688,927468,707498,100000,119970,187645,91645,352575,268825,363000,0,0,0,0,150,Visions Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6320,933375,475191,383191,27000,65000,90268,41768,202571,149171,165345,0,0,0,3000,75,Discovery CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6410,6458931,3132584,2858984,154500,119100,1622909,1341059,981796,668223,713742,0,0,0,47000,500,East Orange Community CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6665,4021799,2162811,1927811,75000,160000,414689,332689,777780,519500,666519,0,0,0,0,270,Gray CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7100,6299631,3899128,3701690,187438,10000,1131021,798381,865595,696725,403888,0,0,0,53900,461,Lady Liberty Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7210,8530570,4343671,3489572,600099,254000,1278976,962976,1401504,1022304,1491919,0,0,0,26000,570,Marion P. Thomas CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7280,2658428,1482691,1163994,232347,86350,451189,236989,498348,337986,226200,0,0,0,35000,166,Greater Newark CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7290,5959256,2970277,2691292,156541,122444,804620,414743,1108033,838844,1076326,0,0,0,110000,476,New Horizons Comm. CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7320,17345300,10620486,8213329,1226299,1180858,1031545,573964,3880055,2483664,1813214,0,0,0,60000,1209,North Star Acad. CS of Newark,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7325,20964332,11942641,9615436,1221945,1105260,1150693,310289,5385988,3956225,2445195,0,0,0,235000,1267,TEAM Academy Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7730,6697284,3363123,3008123,341000,14000,685794,457094,1294367,910767,1354000,0,0,0,67500,525,Robert Treat Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,7735,5054511,2916565,2682086,135144,99335,805591,509445,924033,685941,408323,0,0,0,110000,366,Maria L. Varisco-Rogers CS,ESSEX,K. CHARTER,C,,,1,ESSEX
