GROUP,CONAME,DIST,DISTNAME,PP111,RK111,PCT111,SBA11,PP211,RK211,PCT211,SBB11,PP311,RK311,PCT311,SBC11
A. K-6,,,1. State average - Operating Type K-6,676,,,,638,,,,655,,,
A. K-6,,,2. State median - Operating Type K-6,681,,,,629,,,,660,,,
A. K-6,,,5. State average - All operating types,852,,,,810,,,,838,,,
A. K-6,,,6. State median - All operating types,751,,,,714,,,,749,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,446,9,0.039,0.346,412,8,0.033,0.379,396,9,0.039,0.327
A. K-6,BERGEN,3870,ORADELL BORO,788,41,0.069,0.596,674,35,0.060,0.592,705,33,0.062,0.547
A. K-6,BERGEN,4410,RIVER EDGE BORO,609,25,0.055,0.589,628,29,0.055,0.592,617,25,0.050,0.571
A. K-6,BERGEN,4620,SADDLE RIVER BORO,397,7,0.020,0.238,716,39,0.036,0.462,710,34,0.033,0.395
A. K-6,BURLINGTON,200,BASS RIVER TWP,879,47,0.063,0.459,830,46,0.057,0.432,772,41,0.052,0.407
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,686,32,0.060,0.525,806,44,0.076,0.590,977,54,0.086,0.569
A. K-6,BURLINGTON,2960,MANSFIELD TWP,809,44,0.068,0.579,782,41,0.072,0.600,736,38,0.064,0.594
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,958,51,0.060,0.457,914,53,0.059,0.453,903,50,0.055,0.425
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,844,46,0.066,0.587,852,49,0.065,0.630,892,49,0.063,0.534
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,88,2,0.007,0.068,62,2,0.006,0.050,66,2,0.005,0.047
A. K-6,CAMDEN,5560,WATERFORD TWP,1005,53,0.073,0.556,257,4,0.021,0.183,290,5,0.022,0.179
A. K-6,CAPE MAY,710,CAPE MAY CITY,920,48,0.058,0.405,1082,56,0.056,0.411,1099,55,0.056,0.426
A. K-6,CAPE MAY,2840,LOWER TWP,950,50,0.078,0.602,834,47,0.068,0.562,860,47,0.066,0.540
A. K-6,CAPE MAY,4700,SEA ISLE CITY,2369,59,0.087,0.565,2346,59,0.075,0.484,2657,59,0.088,0.428
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,946,49,0.043,0.366,1062,55,0.051,0.375,1174,56,0.046,0.334
A. K-6,ESSEX,1400,ESSEX FELLS BORO,757,39,0.051,0.541,835,48,0.055,0.535,885,48,0.052,0.424
A. K-6,ESSEX,1465,FAIRFIELD TWP,532,14,0.045,0.416,583,23,0.046,0.465,660,30,0.050,0.497
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,983,52,0.069,0.548,812,45,0.060,0.569,906,51,0.059,0.521
A. K-6,ESSEX,4530,ROSELAND BORO,557,20,0.044,0.470,574,22,0.047,0.469,585,23,0.048,0.483
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,556,19,0.056,0.447,559,20,0.058,0.465,503,17,0.054,0.424
A. K-6,GLOUCESTER,1330,ELK TWP,639,27,0.057,0.557,635,31,0.061,0.577,710,34,0.062,0.564
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,751,38,0.071,0.538,667,34,0.067,0.525,748,40,0.068,0.540
A. K-6,GLOUCESTER,2070,HARRISON TWP,500,13,0.052,0.426,517,14,0.053,0.404,562,20,0.054,0.455
A. K-6,GLOUCESTER,2990,MANTUA TWP,679,29,0.061,0.558,697,38,0.063,0.544,780,42,0.065,0.580
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,610,26,0.054,0.482,650,32,0.053,0.520,674,32,0.052,0.451
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,34,1,0.004,0.029,26,1,0.003,0.024,29,1,0.003,0.021
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,253,3,0.026,0.231,244,3,0.027,0.217,180,3,0.021,0.172
A. K-6,GLOUCESTER,5590,WENONAH BORO,543,16,0.053,0.583,499,12,0.049,0.553,457,14,0.044,0.476
