GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,87.1,,62288,,85.3,,62552,
A. K-6,BERGEN,1270,EDGEWATER BORO,123.6,13,54425,25,112.7,14,57889,28
A. K-6,BERGEN,3870,ORADELL BORO,155.9,6,52056,21,106.2,18,57522,25
A. K-6,BERGEN,4410,RIVER EDGE BORO,77.1,39,73375,55,77.5,39,73825,56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,84.4,34,62077,37,76.7,40,64266,43
A. K-6,BURLINGTON,200,BASS RIVER TWP,66.1,46,59085,30,73.3,45,61904,34
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,101.5,23,71547,54,89.1,28,72497,55
A. K-6,BURLINGTON,2960,MANSFIELD TWP,85.5,33,64139,43,97.4,20,64224,42
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,55.8,54,67389,51,60,50,65864,48
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,77.8,38,53644,23,59.8,52,52240,20
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,87.4,31,15235,4,85.2,33,13467,4
A. K-6,CAMDEN,5560,WATERFORD TWP,63.5,49,76903,57,64.6,48,62605,36
A. K-6,CAPE MAY,710,CAPE MAY CITY,155,7,67000,49,149,5,69460,52
A. K-6,CAPE MAY,2840,LOWER TWP,93.1,30,78589,58,87.7,31,81051,59
A. K-6,CAPE MAY,4700,SEA ISLE CITY,48,58,57819,28,46,58,59644,30
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,200,3,7975,2,280,2,8134,3
A. K-6,ESSEX,1400,ESSEX FELLS BORO,60.5,52,49363,17,53.7,55,45305,15
A. K-6,ESSEX,1465,FAIRFIELD TWP,70.7,45,80564,60,77.8,37,77208,57
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,73.6,40,52916,22,84.4,34,52751,21
A. K-6,ESSEX,4530,ROSELAND BORO,73.2,42,60665,34,71.3,46,62410,35
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,99.3,25,62258,38,125.7,10,57590,26
A. K-6,GLOUCESTER,1330,ELK TWP,107.8,20,64995,45,93.8,24,63360,40
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,117.7,15,59850,32,92,26,61815,33
A. K-6,GLOUCESTER,2070,HARRISON TWP,103.1,21,65415,47,96.4,22,64978,45
A. K-6,GLOUCESTER,2990,MANTUA TWP,80,37,69870,53,87.8,30,65604,46
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,169.4,4,41102,11,81.6,35,47516,16
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,137,9,41084,10,135.6,8,41084,11
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,139.4,8,62407,39,127.4,9,63258,39
A. K-6,GLOUCESTER,5590,WENONAH BORO,230,2,28520,6,204.2,3,28679,7
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,110,18,67009,50,69,47,61730,32
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,54.5,55,56492,27,54,54,57744,27
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,101.1,24,76284,56,113.9,13,77824,58
A. K-6,HUNTERDON,2590,LEBANON BORO,30,60,47538,14,35.6,60,48198,17
A. K-6,HUNTERDON,5050,STOCKTON BORO,430,1,3150,1,440,1,3570,1
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,122.5,14,65814,48,122,11,67928,51
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,130,11,44912,12,116.4,12,31012,8
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,82.4,36,29384,7,59.4,53,42075,13
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,56.4,53,15573,5,75,42,23846,5
A. K-6,MORRIS,3240,MINE HILL TWP,158.8,5,48635,16,167.6,4,31512,9
A. K-6,OCEAN,230,BEACH HAVEN BORO,93.8,28,13231,3,111.7,15,5000,2
A. K-6,OCEAN,320,BERKELEY TWP,72,44,65345,46,74.8,43,67628,50
A. K-6,OCEAN,1150,EAGLESWOOD TWP,61.8,51,50350,19,88.8,29,41993,12
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,111.8,16,46313,13,111,16,43201,14
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,87.3,32,68489,52,96.2,23,66355,49
A. K-6,OCEAN,2760,LONG BEACH ISLAND,45.4,59,60350,33,44.7,59,64807,44
A. K-6,OCEAN,3800,OCEAN GATE BORO,52,56,35517,8,52.7,56,32753,10
A. K-6,OCEAN,3820,OCEAN TWP,63.5,49,61969,36,62.6,49,63166,38
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,73.1,43,63800,41,96.7,21,65750,47
A. K-6,OCEAN,5020,STAFFORD TWP,95.1,26,62798,40,90.2,27,63532,41
A. K-6,OCEAN,5220,TUCKERTON BORO,73.6,40,47806,15,77.7,38,48847,18
A. K-6,SUSSEX,1630,FREDON TWP,111.7,17,56171,26,136.3,7,55087,22
A. K-6,SUSSEX,1980,HAMPTON TWP,108.1,19,57827,29,108.1,17,59290,29
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,131.7,10,39017,9,145,6,70346,53
A. K-6,SUSSEX,5040,STILLWATER TWP,93.8,28,79480,59,101.4,19,81630,60
A. K-6,WARREN,400,BLAIRSTOWN TWP,65.7,47,60900,35,59.9,51,62735,37
A. K-6,WARREN,1620,FRANKLIN TWP,64.2,48,59795,31,76.3,41,57395,24
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,127.1,12,49438,18,92.2,25,50483,19
A. K-6,WARREN,2470,KNOWLTON TWP,50.7,57,51833,20,48.2,57,24504,6
A. K-6,WARREN,2970,MANSFIELD TWP,94.7,27,63981,42,85.4,32,72390,54
A. K-6,WARREN,5480,WASHINGTON BORO,101.7,22,53803,24,78,36,56218,23
A. K-6,WARREN,5530,WASHINGTON TWP,83.5,35,64444,44,73.4,44,60364,31
B. K-8 / 0 - 400,,,K-8 Average,80.4,,65967,,79.1,,66195,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,87.7,32,52109,32,73.7,39,43338,18
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,,,,,,,,
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,70.3,43,49284,26,64.2,44,49284,26
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,49.7,62,59507,41,44.7,63,63818,48
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,193.6,7,72645,58,398.6,2,69141,57
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,94.3,28,61118,44,145.9,9,62286,44
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,440,1,25936,8,431.4,1,27186,7
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,87.6,33,82386,63,86.7,33,83636,63
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,68.8,45,60964,43,88,29,62721,45
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,55.8,57,49235,25,54.9,54,49235,24
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,61,53,51327,31,,,,
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,144,12,77700,61,152,7,77800,61
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,243.3,4,34554,10,284.2,3,36144,11
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,72.9,42,53024,33,57.2,51,42681,17
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,126.5,15,56700,37,132.9,11,53949,33
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,92,30,59471,40,104.3,23,59471,42
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,42.8,65,69112,56,47.1,62,56757,38
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,75.3,40,83907,65,74,38,73723,59
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,50,61,79567,62,87.8,31,59039,40
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,60.9,54,83163,64,48.7,60,54400,35
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,214,5,47518,23,215,6,49528,28
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,209.4,6,38456,12,121.7,16,44447,20
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,101.9,22,41522,14,111.3,20,41424,15
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,,,,,,,,
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,189.5,8,50912,29,131.7,12,52138,31
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,135,13,47115,22,121,17,50841,29
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,168.6,10,12012,1,126.7,13,13860,2
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,171.3,9,23807,7,84.4,34,28901,9
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,66.8,47,18050,3,63.6,45,19158,5
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,89.4,31,47018,21,105.7,22,49051,23
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,66.8,47,44424,19,64.8,43,42580,16
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,48.5,63,13652,2,48.3,61,13035,1
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,62.3,52,63853,52,56.1,53,54945,36
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,82.9,34,21321,5,88.6,28,21911,6
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,78.1,37,23075,6,52.3,59,17972,4
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,97.3,26,44067,18,71.6,40,28000,8
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,125,16,77160,60,,,,
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,156,11,73556,59,152,7,74500,60
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,121.6,17,29169,9,124,15,29784,10
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,101.5,23,39753,13,100,24,40814,14
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,77.9,38,63340,49,89.8,27,68351,56
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,59.6,55,59280,38,61.1,49,61614,43
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,98.9,24,49104,24,79.3,36,49500,27
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,51.9,60,61200,45,52.5,58,57950,39
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,52.9,59,69515,57,54.9,54,79696,62
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,114.4,18,62765,47,82.6,35,63084,47
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,68.9,44,49534,27,69.8,42,39848,13
