GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,,,1. State average - Operating Type K-6,0.289,0.304,0.335
A. K-6,,,2. State median - Operating Type K-6,0.274,0.276,0.311
A. K-6,,,5. State average - All operating types,0.276,0.296,0.318
A. K-6,,,6. State median - All operating types,0.267,0.282,0.304
A. K-6,BERGEN,1270,EDGEWATER BORO,0.272,0.274,0.336
A. K-6,BERGEN,3870,ORADELL BORO,0.296,0.299,0.341
A. K-6,BERGEN,4410,RIVER EDGE BORO,0.225,0.242,0.275
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0.238,0.260,0.304
A. K-6,BURLINGTON,200,BASS RIVER TWP,0.305,0.276,0.333
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0.273,0.290,0.316
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0.299,0.315,0.290
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0.331,0.351,0.366
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,0.291,0.317,0.305
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0.220,0.265,0.272
A. K-6,CAMDEN,5560,WATERFORD TWP,0.285,0.300,0.301
A. K-6,CAPE MAY,710,CAPE MAY CITY,0.248,0.275,0.301
A. K-6,CAPE MAY,2840,LOWER TWP,0.322,0.360,0.328
A. K-6,CAPE MAY,4700,SEA ISLE CITY,0.329,0.308,0.442
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0.156,0.170,0.175
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0.252,0.293,0.334
A. K-6,ESSEX,1465,FAIRFIELD TWP,0.273,0.268,0.304
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,0.326,0.362,0.405
A. K-6,ESSEX,4530,ROSELAND BORO,0.310,0.267,0.293
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,0.218,0.245,0.278
A. K-6,GLOUCESTER,1330,ELK TWP,0.290,0.265,0.371
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0.292,0.318,0.359
A. K-6,GLOUCESTER,2070,HARRISON TWP,0.244,0.241,0.263
A. K-6,GLOUCESTER,2990,MANTUA TWP,0.290,0.328,0.366
