GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,,,K-6 Average,15.3,,15.1,
A. K-6,BERGEN,1270,EDGEWATER BORO,16.1,22,12.7,39
A. K-6,BERGEN,3870,ORADELL BORO,14.1,35,14.4,30
A. K-6,BERGEN,4410,RIVER EDGE BORO,18.1,13,18.5,10
A. K-6,BERGEN,4620,SADDLE RIVER BORO,6.7,56,6.7,56
A. K-6,BURLINGTON,200,BASS RIVER TWP,14.3,33,14.6,28
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,11.5,41,12.2,42
A. K-6,BURLINGTON,2960,MANSFIELD TWP,15.3,27,15.3,25
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,16.3,21,16.6,18
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,10.3,48,10.6,48
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,18.4,12,16.3,20
A. K-6,CAMDEN,5560,WATERFORD TWP,14.9,31,18.8,8
A. K-6,CAPE MAY,710,CAPE MAY CITY,11.2,44,12.1,43
A. K-6,CAPE MAY,2840,LOWER TWP,26.4,1,22.8,3
A. K-6,CAPE MAY,4700,SEA ISLE CITY,15,30,13.3,36
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,4.1,59,4.3,60
A. K-6,ESSEX,1400,ESSEX FELLS BORO,15.3,27,15,26
A. K-6,ESSEX,1465,FAIRFIELD TWP,15.4,26,15.5,24
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,17.7,14,18,12
A. K-6,ESSEX,4530,ROSELAND BORO,15.5,25,16,23
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,16.6,19,14.9,27
A. K-6,GLOUCESTER,1330,ELK TWP,18.6,9,17.9,13
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,15.7,23,16.9,16
A. K-6,GLOUCESTER,2070,HARRISON TWP,18.5,11,18.1,11
A. K-6,GLOUCESTER,2990,MANTUA TWP,25.9,2,18.9,7
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,8.9,52,14.1,32
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,10.1,51,12.4,41
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,19.5,8,20.2,6
A. K-6,GLOUCESTER,5590,WENONAH BORO,23,3,23.1,2
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,14.2,34,7.6,54
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,17.1,15,16.4,19
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,8.4,53,9,52
A. K-6,HUNTERDON,2590,LEBANON BORO,13.2,36,13.7,35
A. K-6,HUNTERDON,5050,STOCKTON BORO,6.1,58,6.1,58
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,12.8,39,12.8,38
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,11.2,44,11.7,44
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,6.2,57,6.3,57
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,4,60,5.3,59
A. K-6,MORRIS,3240,MINE HILL TWP,21.4,5,23.6,1
A. K-6,OCEAN,230,BEACH HAVEN BORO,10.3,48,10.1,50
A. K-6,OCEAN,320,BERKELEY TWP,21.4,5,17.2,14
A. K-6,OCEAN,1150,EAGLESWOOD TWP,7.9,55,7.4,55
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,11.4,42,11.5,46
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,15.6,24,16.3,20
A. K-6,OCEAN,2760,LONG BEACH ISLAND,11.4,42,12.5,40
A. K-6,OCEAN,3800,OCEAN GATE BORO,10.5,47,10.5,49
A. K-6,OCEAN,3820,OCEAN TWP,17.1,15,16.9,16
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,22.5,4,21.7,5
A. K-6,OCEAN,5020,STAFFORD TWP,16.7,18,17,15
A. K-6,OCEAN,5220,TUCKERTON BORO,16.8,17,16.3,20
A. K-6,SUSSEX,1630,FREDON TWP,10.3,48,9.6,51
A. K-6,SUSSEX,1980,HAMPTON TWP,13.2,36,14.4,30
