GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
A. K-6,,,1. State average - Operating Type K-6,1558,,,,1551,,,,1605,,,
A. K-6,,,2. State median - Operating Type K-6,1453,,,,1430,,,,1550,,,
A. K-6,,,5. State average - All operating types,1897,,,,1815,,,,1900,,,
A. K-6,,,6. State median - All operating types,1591,,,,1601,,,,1660,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,1141,14,0.099,0.637,1412,30,0.114,0.670,1277,18,0.125,0.738
A. K-6,BERGEN,3870,ORADELL BORO,1713,41,0.150,0.850,1394,26,0.125,0.840,1387,22,0.121,0.811
A. K-6,BERGEN,4410,RIVER EDGE BORO,1656,38,0.151,0.930,1625,37,0.143,0.931,1547,30,0.127,0.849
A. K-6,BERGEN,4620,SADDLE RIVER BORO,3995,59,0.205,0.736,4408,59,0.219,0.817,4766,60,0.219,0.726
A. K-6,BURLINGTON,200,BASS RIVER TWP,1783,43,0.127,0.733,1726,43,0.119,0.742,1795,41,0.121,0.676
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1629,37,0.143,0.824,1630,38,0.153,0.869,1662,35,0.147,0.894
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1290,21,0.109,0.735,1189,15,0.110,0.644,1205,16,0.104,0.667
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,2013,51,0.127,0.911,1977,47,0.127,0.896,2016,45,0.122,0.861
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1885,48,0.146,0.883,1048,11,0.080,0.591,989,9,0.069,0.536
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,890,6,0.074,0.570,1039,10,0.096,0.659,1376,20,0.104,0.613
A. K-6,CAMDEN,5560,WATERFORD TWP,2357,53,0.172,0.900,2269,52,0.187,0.903,2348,51,0.175,0.882
A. K-6,CAPE MAY,710,CAPE MAY CITY,1456,31,0.092,0.629,1761,45,0.091,0.677,1746,38,0.088,0.648
A. K-6,CAPE MAY,2840,LOWER TWP,1817,46,0.150,0.903,1737,44,0.141,0.916,1862,42,0.142,0.888
A. K-6,CAPE MAY,4700,SEA ISLE CITY,1449,30,0.053,0.304,2685,56,0.086,0.415,2572,56,0.085,0.407
