GROUP,CONAME,DIST,DISTNAME,PP16,RK16,PCT16,PP26,RK26,PCT26,PP36,RK36,PCT36
A. K-6,WARREN,1620,FRANKLIN TWP,1709,21,0.131,1796,30,0.129,1945,31,0.123
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,1169,2,0.105,1230,4,0.104,1286,4,0.102
A. K-6,WARREN,2470,KNOWLTON TWP,1896,31,0.149,1872,34,0.143,1899,27,0.138
A. K-6,WARREN,2970,MANSFIELD TWP,1357,7,0.129,1335,6,0.132,1433,10,0.132
A. K-6,WARREN,5480,WASHINGTON BORO,1862,29,0.163,1543,14,0.141,1955,32,0.155
A. K-6,WARREN,5530,WASHINGTON TWP,1990,35,0.178,2207,43,0.186,2526,45,0.197
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,1825,,,1770,,,1918,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,1829,,,1817,,,1941,,
B. K-8 / 0 - 400,,,5. State average - All operating types,2116,,,2029,,,2169,,
B. K-8 / 0 - 400,,,6. State median - All operating types,1872,,,1827,,,1945,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,1608,18,0.135,1528,15,0.135,1861,22,0.144
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,2590,47,0.171,2985,52,0.196,2871,52,0.194
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,1179,8,0.103,1238,9,0.103,1701,16,0.125
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,4769,65,0.200,4716,65,0.213,5598,66,0.230
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,3958,64,0.205,4133,63,0.215,3773,61,0.199
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,2936,54,0.173,2899,50,0.164,3416,57,0.179
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,3315,57,0.211,2382,46,0.168,2833,50,0.195
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,1810,26,0.144,1959,29,0.159,2157,37,0.162
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,2853,52,0.160,3229,56,0.206,2771,48,0.185
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,2416,41,0.188,2005,32,0.175,1972,29,0.166
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,2598,48,0.129,3175,55,0.156,5006,64,0.193
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,1110,5,0.082,1120,6,0.079,1364,8,0.102
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,1673,21,0.147,1238,9,0.113,1646,15,0.133
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,2068,35,0.134,2310,44,0.155,2297,41,0.151
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,1477,15,0.112,1760,23,0.134,1910,24,0.140
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,1869,28,0.143,1507,14,0.120,1858,21,0.134
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,4886,66,0.132,5550,67,0.156,6279,67,0.160
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,3420,58,0.189,3407,60,0.189,3874,62,0.192
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,5750,67,0.198,5359,66,0.217,5452,65,0.195
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,2882,53,0.166,3447,61,0.183,3576,60,0.200
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,1636,19,0.128,1924,26,0.132,1905,23,0.134
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,1073,4,0.106,941,2,0.093,1105,1,0.103
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,3949,63,0.251,2471,48,0.184,3136,55,0.192
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,1994,32,0.120,2241,42,0.152,2514,44,0.154
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,1115,6,0.093,982,3,0.086,1190,5,0.100
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,1030,2,0.094,997,4,0.098,1138,3,0.101
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,1187,10,0.132,1575,16,0.163,1585,12,0.146
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,1270,12,0.095,1651,17,0.142,1706,17,0.126
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,1311,13,0.101,1750,22,0.129,1941,26,0.139
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,1701,22,0.122,1925,27,0.136,1723,18,0.126
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,2466,45,0.162,2100,37,0.161,1915,25,0.153
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,2791,49,0.156,2770,49,0.137,2514,44,0.137
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,3570,60,0.224,3229,56,0.203,2868,51,0.184
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,3122,56,0.202,3053,53,0.214,3067,54,0.211
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,1852,27,0.135,2161,41,0.160,2400,42,0.176
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,2122,37,0.130,2019,33,0.133,2219,40,0.141
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,3678,61,0.160,3319,59,0.157,2209,39,0.142
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,2246,40,0.157,2404,47,0.173,2996,53,0.193
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,958,1,0.087,1119,5,0.098,1512,10,0.116
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,1122,7,0.110,1230,8,0.120,1105,1,0.097
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,2830,51,0.165,3103,54,0.189,3155,56,0.182
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,3921,62,0.227,4171,64,0.258,4809,63,0.254
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,2136,38,0.178,1988,30,0.178,2125,36,0.178
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,3540,59,0.188,3601,62,0.189,3539,59,0.178
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,2438,43,0.167,1999,31,0.144,2786,49,0.181
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,1565,17,0.119,1370,13,0.113,1338,7,0.107
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,2242,39,0.172,2095,36,0.165,1989,30,0.171
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,2485,46,0.132,3253,58,0.178,3538,58,0.177
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,1723,23,0.108,2124,39,0.136,2079,34,0.133
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,1731,24,0.129,1857,24,0.136,1521,11,0.109
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,1207,11,0.083,1144,7,0.078,1617,13,0.098
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,1180,9,0.099,1718,20,0.131,1626,14,0.118
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,1994,32,0.121,1741,21,0.128,1822,20,0.121
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,1498,16,0.127,1330,12,0.123,1410,9,0.124
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,1067,3,0.101,909,1,0.084,1142,4,0.099
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,1872,29,0.116,1908,25,0.127,2205,38,0.127
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,1758,25,0.140,1680,19,0.129,1794,19,0.129
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,2429,42,0.152,2291,43,0.159,2078,33,0.146
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,2088,36,0.163,2059,35,0.156,2047,31,0.156
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,1401,14,0.121,1263,11,0.115,1335,6,0.117
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,2994,55,0.179,2907,51,0.174,2575,47,0.151
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,2438,43,0.171,2040,34,0.147,1941,26,0.146
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,1938,31,0.151,2152,40,0.165,2107,35,0.164
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,2792,50,0.210,2351,45,0.194,2456,43,0.188
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,1879,30,0.144,1958,28,0.150,2068,32,0.162
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,1651,20,0.124,1673,18,0.131,1955,28,0.140
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,2061,34,0.177,2123,38,0.184,2536,46,0.186
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,1825,,,1770,,,1918,,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,1829,,,1817,,,1941,,
C. K-8 / 401 - 750,,,5. State average - All operating types,2116,,,2029,,,2169,,
C. K-8 / 401 - 750,,,6. State median - All operating types,1872,,,1827,,,1945,,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,2384,57,0.162,2639,60,0.183,2429,53,0.168
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,1704,25,0.182,1884,38,0.182,1988,34,0.176
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,2654,61,0.164,2622,59,0.159,3070,62,0.165
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,1164,4,0.106,1227,6,0.109,1423,11,0.118
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,1921,41,0.137,1939,42,0.145,1477,13,0.104
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,2635,60,0.176,2819,62,0.186,2908,59,0.168
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,4584,65,0.234,4031,65,0.251,4794,65,0.261
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,1596,20,0.127,1736,23,0.136,1785,23,0.137
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,1779,33,0.127,1871,36,0.127,2486,55,0.159
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,1723,27,0.136,1769,26,0.142,1990,35,0.148
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,1775,32,0.153,2098,48,0.170,2171,44,0.166
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,1871,37,0.151,2027,46,0.166,1833,26,0.152
