GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,BERGEN,1270,EDGEWATER BORO,675396,426434
A. K-6,BERGEN,3870,ORADELL BORO,0,153920
A. K-6,BERGEN,4410,RIVER EDGE BORO,379273,173504
A. K-6,BERGEN,4620,SADDLE RIVER BORO,208933,231686
A. K-6,BURLINGTON,200,BASS RIVER TWP,0,40628
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,72993,91703
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,0
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,0,216124
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0,94649
A. K-6,CAMDEN,5560,WATERFORD TWP,72784,1104757
A. K-6,CAPE MAY,710,CAPE MAY CITY,0,0
A. K-6,CAPE MAY,2840,LOWER TWP,323150,507648
A. K-6,CAPE MAY,4700,SEA ISLE CITY,0,0
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,6375,49017
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0,149719
A. K-6,ESSEX,1465,FAIRFIELD TWP,371161,286366
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,40774,444460
A. K-6,ESSEX,4530,ROSELAND BORO,0,118966
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,378419,856279
A. K-6,GLOUCESTER,1330,ELK TWP,5195,456167
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0,19048
A. K-6,GLOUCESTER,2070,HARRISON TWP,0,272273
A. K-6,GLOUCESTER,2990,MANTUA TWP,122898,65150
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0,125804
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,0,97775
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,107729,432398
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,60703,170254
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,0,0
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,0,0
A. K-6,HUNTERDON,2590,LEBANON BORO,88,3893
A. K-6,HUNTERDON,5050,STOCKTON BORO,0,0
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,0,986
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,96627,66885
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,103475,439785
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0,0
A. K-6,MORRIS,3240,MINE HILL TWP,150000,0
A. K-6,OCEAN,230,BEACH HAVEN BORO,5649,71202
A. K-6,OCEAN,320,BERKELEY TWP,450000,843996
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0,0
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0,0
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,0,134433
A. K-6,OCEAN,2760,LONG BEACH ISLAND,0,65610
A. K-6,OCEAN,3800,OCEAN GATE BORO,109399,216386
A. K-6,OCEAN,3820,OCEAN TWP,1744,442698
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,0,220048
A. K-6,OCEAN,5020,STAFFORD TWP,0,47905
A. K-6,OCEAN,5220,TUCKERTON BORO,0,0
A. K-6,SUSSEX,1630,FREDON TWP,0,0
A. K-6,SUSSEX,1980,HAMPTON TWP,107795,88868
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,0,0
A. K-6,SUSSEX,5040,STILLWATER TWP,43563,218734
A. K-6,WARREN,400,BLAIRSTOWN TWP,72258,51311
A. K-6,WARREN,1620,FRANKLIN TWP,23031,41841
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0,0
A. K-6,WARREN,2470,KNOWLTON TWP,37583,16171
A. K-6,WARREN,2970,MANSFIELD TWP,0,0
A. K-6,WARREN,5480,WASHINGTON BORO,184243,574322
A. K-6,WARREN,5530,WASHINGTON TWP,0,0
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,0,0
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,66655,108761
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,106050,189183
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,0,0
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,249540,189789
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,0,70763
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,263137,60408
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,266398,658469
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,271727,0
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,0,0
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,214000,164651
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,115908,56634
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,0,294250
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,144738,155373
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,0,126435
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,0,350719
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,59050,5123
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,424151,766277
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,168813,221498
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,0,0
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,0,0
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,6962,183910
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,0,18427
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,0,757
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,4711,0
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,0,0
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,0,338314
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,353512,87822
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,0,0
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,0,0
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,0,0
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,0,0
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,30280,0
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,0,0
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,153942,161421
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,496641,533623
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,60698,0
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,0,14982
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,270701,294258
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,717793,877301
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,18531,0
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,918201,1000118
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,62632,129983
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,3029,320
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,54033,253371
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,0,126827
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,111677,371502
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,0,148438
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,1741,53497
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,11275,139068
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,301505,348173
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,23872,29652
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,93730,68170
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,471741,373318
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,312195,129796
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,0,181848
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,0,0
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,42961,0
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,0,0
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,0,88416
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,0,0
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,95013,272587
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,58151,34155
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,5595,61033
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,0,0
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,0,406813
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,25925,236115
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,97076,715718
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,228756,898817
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,547092,1088354
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,61322,438990
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,0,62115
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,704843,845345
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,0,36054
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,0,232164
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,0,0
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,63186,230115
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,251891,924713
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,19236,40000
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,0,0
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,23297,33767
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,0,126152
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,58399,137263
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,0,252249
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,0,394965
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,0,107355
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,239406,329251
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,0,152420
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,97095,250848
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,35865,59715
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,36827,174273
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,252508,641437
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,0,0
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,0,143942
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,296966,402171
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,381220,436853
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,24988,25555
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,0,10017
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,0,2862
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,53,82970
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,90089,116836
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,14721,92983
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,111179,106058
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,639214,1099981
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,16871,136829
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,0,0
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,0,0
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,0,58296
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,34448,8065
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,11358,0
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,0,0
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,18872,114215
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,12052,202697
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,0,0
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,858500,903853
